ClientNumber,MatterNumber,CompletionDate,DateProcessed,DeduplicatedFileSizeGB,NumberofFilesDeduplicated,TotalDocumentsPostFiltering,TotalGBPostFiltering,TotalGBPreExpansion,TicketNumber,CustodianID
902296,356992,2013-09-17 18:00:00.000,2013-09-17 19:20:28.290,0.000,0,8,0.010,0.010,953016,NULL
902296,356992,NULL,2013-09-21 15:20:53.607,0.000,0,10,0.001,0.001,210034,NULL
640974,774272,2013-10-09 10:10:00.000,2013-09-23 16:43:47.140,0.000,0,103,0.061,0.036,637183,NULL
640974,774272,2013-10-09 10:10:00.000,2013-09-23 16:43:47.140,0.000,0,103,0.061,0.036,637183,553414
902296,356992,2013-09-24 18:00:00.000,2013-09-24 21:53:02.450,0.000,0,7,0.033,0.033,1005261,NULL
902296,356992,2013-09-25 17:00:00.000,2013-09-25 17:04:31.557,0.000,0,15,0.075,0.075,942777,753281
799642,396480,2013-10-01 12:00:00.000,2013-10-01 00:40:24.130,0.100,1233,5237,1.389,1.196,873467,748645
948819,903168,2014-07-01 23:59:00.000,2013-10-06 17:46:43.233,6.221,157645,1725762,58.407,30.571,370182,930447
263721,277312,2013-10-07 15:59:00.000,2013-10-07 17:55:22.563,0.000,0,25,0.007,0.004,613292,354902
51509,653952,2013-10-08 09:00:00.000,2013-10-07 19:55:10.447,0.539,3202,4503,1.102,0.904,918886,1018051
270788,988416,2013-10-21 08:00:00.000,2013-10-20 23:04:31.223,0.623,3505,19575,4.295,2.599,960892,108262
902296,356992,2013-10-22 12:51:00.000,2013-10-22 17:52:10.123,0.000,0,5,0.011,0.011,155426,NULL
632593,159680,NULL,2013-10-23 15:07:57.643,0.000,0,3,0.001,0.001,23632,930447
902296,356992,2013-10-27 14:00:00.000,2013-10-27 17:50:38.627,0.000,0,1,0.010,0.010,947240,NULL
994638,51136,2013-11-02 15:00:00.000,2013-11-02 19:15:23.923,0.000,0,523,1.901,1.898,999485,NULL
507236,473728,2013-11-06 12:00:00.000,2013-11-05 22:24:38.960,0.000,0,5045,2.455,2.443,374645,778189
854404,774272,2013-11-11 00:00:00.000,2013-11-10 14:00:44.863,0.000,0,3075,0.588,0.369,985833,489715
333274,75136,2013-11-11 15:00:00.000,2013-11-11 18:07:21.207,0.000,0,696,4.187,4.187,58812,857463
333274,75136,2013-11-11 15:00:00.000,2013-11-11 18:07:21.207,0.000,0,9,0.002,0.002,58812,255001
333274,75136,2013-11-11 15:00:00.000,2013-11-11 18:07:21.207,0.000,0,6,0.000,0.000,58812,387374
333274,75136,2013-11-11 15:00:00.000,2013-11-11 18:07:21.207,0.000,0,6,0.001,0.001,58812,905226
83597,425408,2013-11-12 14:00:00.000,2013-11-12 00:05:24.127,0.000,0,14,0.005,0.005,548445,NULL
271641,755456,2013-11-13 15:00:00.000,2013-11-12 21:14:31.913,0.000,0,12,1.416,1.416,176954,832080
271641,755456,2013-11-13 15:00:00.000,2013-11-12 21:14:31.913,0.000,0,8,0.011,0.011,176954,638652
271641,755456,2013-11-13 15:00:00.000,2013-11-12 21:14:31.913,0.000,0,4,0.036,0.036,176954,491193
632593,159680,2013-11-13 16:00:00.000,2013-11-12 22:09:20.603,0.000,0,3,0.025,0.025,51986,NULL
961653,356992,2013-11-13 16:00:00.000,2013-11-12 22:13:35.327,0.000,0,4,0.002,0.002,545032,103960
83597,425408,2013-11-13 16:00:00.000,2013-11-12 23:59:05.383,0.000,0,2,0.000,0.000,1038078,NULL
892947,653952,2013-11-18 14:00:00.000,2013-11-16 16:41:03.620,5.904,3286,10033,22.436,28.284,847213,817895
892947,653952,2013-11-18 14:00:00.000,2013-11-16 16:41:03.620,0.003,1,35,0.080,0.083,847213,838414
83597,425408,2013-11-16 10:23:00.000,2013-11-16 17:25:25.637,0.000,0,66,0.013,0.012,784729,NULL
632593,159680,2013-11-16 17:00:00.000,2013-11-16 19:20:52.887,0.000,0,1,0.003,0.003,413238,NULL
686235,356992,2013-11-20 00:00:00.000,2013-11-16 19:39:30.397,0.000,0,1245,0.533,0.533,906284,368230
97146,704704,2013-11-16 17:00:00.000,2013-11-16 22:56:40.153,0.024,37,690,0.128,0.088,961942,436585
55142,356992,2013-11-18 00:00:00.000,2013-11-17 20:39:50.787,0.000,309,1269,1.183,0.687,340515,NULL
674429,631424,2013-11-19 15:00:00.000,2013-11-18 19:18:12.367,0.000,0,32,0.059,0.059,153063,89234
674429,631424,2013-11-19 15:00:00.000,2013-11-18 19:18:12.367,0.000,0,29,0.035,0.035,153063,89234
674429,631424,2013-11-19 15:00:00.000,2013-11-18 19:18:12.367,0.000,0,40,0.038,0.037,153063,89234
674429,631424,2013-11-19 15:00:00.000,2013-11-18 19:18:12.367,0.000,0,1,0.000,0.000,153063,89234
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.000,0,9,0.003,0.003,274618,94839
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.025,4,2992,7.845,4.104,274618,533206
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.000,0,11,0.045,0.025,274618,955109
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.016,6,160,0.318,0.178,274618,888874
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.007,10,81,0.256,0.147,274618,310724
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.002,16,382,0.377,0.196,274618,961050
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.009,12,7,0.002,0.006,274618,233683
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.007,5,13,0.002,0.006,274618,463257
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.140,22,599,3.466,1.862,274618,606061
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.000,0,56,0.295,0.162,274618,650635
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.000,0,121,0.089,0.048,274618,513936
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.168,46,18,0.069,0.134,274618,568795
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.000,0,11,0.007,0.004,274618,1001596
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.007,6,12,0.003,0.006,274618,1046452
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.009,16,0,0.000,0.006,274618,920400
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.001,4,61,0.377,0.215,274618,680322
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.000,0,145,0.020,0.012,274618,206908
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.007,7,10,0.006,0.008,274618,824496
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.012,17,0,0.000,0.008,274618,571866
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.014,41,86,0.026,0.021,274618,810151
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.000,0,5,0.000,0.000,274618,472097
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.000,0,1,0.000,0.000,274618,98326
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.011,15,231,0.142,0.084,274618,775035
821862,180480,2013-11-19 00:00:00.000,2013-11-18 20:52:10.690,0.004,2,2,0.004,0.006,274618,382415
609461,653952,2013-11-24 14:00:00.000,2013-11-20 19:52:00.990,0.000,0,9,0.000,0.000,1003948,926556
609461,653952,2013-11-24 14:00:00.000,2013-11-20 19:52:00.990,0.000,0,2,0.000,0.000,1003948,517111
609461,653952,2013-11-24 14:00:00.000,2013-11-20 19:52:00.990,0.000,0,20,0.013,0.013,1003948,NULL
763339,813632,2013-11-25 17:00:00.000,2013-11-25 14:37:55.717,0.000,0,1,0.000,0.000,875567,731857
763339,813632,2013-11-27 15:00:00.000,2013-11-26 19:58:18.397,0.000,0,262,0.259,0.088,70101,203095
838290,456640,2013-11-27 15:00:00.000,2013-11-26 20:01:41.633,0.000,0,11,0.001,0.001,563147,NULL
83597,375104,2013-11-30 12:00:00.000,2013-11-27 23:48:12.093,0.002,129,1366,1.097,1.094,497250,142154
233312,159680,2013-12-03 17:00:00.000,2013-12-01 14:37:52.890,0.000,0,8,0.000,0.000,802844,966476
233312,159680,2013-12-03 17:00:00.000,2013-12-01 14:37:52.890,0.000,0,450,3.270,3.270,802844,566458
838290,456640,2013-12-03 15:00:00.000,2013-12-02 20:09:08.170,0.000,0,5,0.002,0.002,490424,NULL
902296,356992,2013-12-03 13:00:00.000,2013-12-03 16:17:47.923,0.000,0,61,0.053,0.026,674463,755469
271641,755456,2013-12-04 12:00:00.000,2013-12-03 22:06:33.140,0.000,0,1,0.056,0.056,302972,638652
898424,653952,2013-12-04 12:00:00.000,2013-12-03 22:07:22.077,0.000,0,73,0.000,0.000,796018,329702
637972,18816,2013-12-04 12:00:00.000,2013-12-04 10:12:18.810,0.000,0,133,0.081,0.048,424527,628755
507236,473728,2013-12-11 00:00:00.000,2013-12-07 20:43:32.447,0.000,0,128,0.098,0.098,49623,778189
637972,18816,2013-12-08 00:00:00.000,2013-12-07 20:45:08.937,0.103,34,20771,6.773,3.980,542669,628755
632593,159680,2013-12-09 12:00:00.000,2013-12-09 14:40:19.143,0.000,0,3,0.020,0.020,910747,NULL
417892,221824,2013-12-10 12:00:00.000,2013-12-10 13:11:51.420,0.000,0,77,0.010,0.003,723295,295191
894540,724096,2013-12-11 12:00:00.000,2013-12-11 13:17:25.473,0.000,0,324,0.043,0.043,657398,NULL
314172,653952,2013-12-15 12:00:00.000,2013-12-11 14:08:43.543,0.000,0,2793,1.135,1.114,594914,NULL
189071,8128,2013-12-14 08:00:00.000,2013-12-13 15:35:56.917,0.030,27,4151,2.271,1.203,344978,NULL
189071,8128,2013-12-14 08:00:00.000,2013-12-13 15:35:56.917,0.569,670,2753,1.718,1.169,344978,748483
189071,8128,2013-12-14 08:00:00.000,2013-12-13 15:35:56.917,0.878,1322,69209,25.568,13.131,344978,535299
226156,515520,2013-12-15 12:00:00.000,2013-12-15 22:06:32.063,0.000,0,754,0.819,0.819,831198,NULL
385896,216128,2013-12-16 18:00:00.000,2013-12-16 20:54:32.607,0.000,0,227,0.147,0.081,581262,103205
385896,216128,2013-12-16 18:00:00.000,2013-12-16 20:54:32.607,0.000,0,97,0.024,0.017,581262,649995
385896,216128,2013-12-16 18:00:00.000,2013-12-16 20:54:32.607,0.000,0,93,0.037,0.022,581262,1036872
233312,159680,2013-12-16 17:15:00.000,2013-12-16 21:18:25.403,0.000,0,0,0.000,0.000,456294,930447
233312,159680,2013-12-16 17:15:00.000,2013-12-16 21:18:25.403,0.000,0,1,0.000,0.000,456294,NULL
83597,375104,2013-12-17 12:00:00.000,2013-12-16 22:49:08.917,0.029,47,1005,0.801,0.829,393810,716673
994638,51136,2013-12-17 12:00:00.000,2013-12-17 14:26:15.107,0.000,0,21,0.006,0.003,331326,124504
994638,51136,2013-12-17 12:00:00.000,2013-12-17 14:26:15.107,0.000,0,1,0.003,0.003,331326,654223
898424,653952,2013-12-21 09:46:00.000,2013-12-21 16:46:27.860,0.000,0,24,0.046,0.046,133635,329702
189071,8128,2013-12-23 12:00:00.000,2013-12-21 17:19:17.617,2.009,6607,95744,18.482,11.249,564197,471972
189071,8128,2013-12-23 12:00:00.000,2013-12-21 17:19:17.617,3.720,10356,39598,6.626,6.522,564197,844939
189071,8128,2013-12-23 12:00:00.000,2013-12-21 17:19:17.617,0.019,205,73680,19.679,10.387,564197,595813
385896,216128,2013-12-22 15:00:00.000,2013-12-22 13:12:19.627,0.000,0,4,0.000,0.000,376745,103205
385896,216128,2013-12-22 15:00:00.000,2013-12-22 13:12:19.627,0.000,0,718,0.459,0.280,376745,649995
385896,216128,2013-12-23 10:00:00.000,2013-12-22 20:35:46.357,0.000,0,497,0.169,0.089,373332,103205
83597,375104,2013-12-23 18:00:00.000,2013-12-23 18:50:01.773,0.000,0,293,0.209,0.208,123396,716673
385896,216128,2013-12-24 17:00:00.000,2013-12-24 18:49:41.120,0.005,38,724,0.249,0.137,182467,103205
674429,631424,2013-12-25 20:00:00.000,2013-12-25 19:30:44.763,0.000,0,165,0.078,0.078,300609,89234
86423,875648,2013-12-28 12:00:00.000,2013-12-25 19:32:17.123,0.000,0,186,0.580,0.580,793655,404176
674429,631424,2013-12-25 20:00:00.000,2013-12-25 19:51:40.140,0.000,0,146,2.036,2.036,731171,89234
674429,631424,2013-12-25 20:00:00.000,2013-12-25 19:51:40.140,0.000,0,148,2.163,0.126,731171,89234
838290,456640,2013-12-25 18:00:00.000,2013-12-25 19:56:54.403,0.000,0,17,0.002,0.001,175641,NULL
674429,434112,2013-12-28 14:14:00.000,2013-12-28 18:14:33.577,0.000,0,121,0.005,0.002,481235,49761
898424,653952,2013-12-29 19:00:00.000,2013-12-28 21:58:31.643,0.000,0,2,0.000,0.000,47260,329702
674429,434112,2013-12-29 12:00:00.000,2013-12-29 14:04:51.603,0.000,0,12,0.001,0.001,967455,49761
420628,356992,2013-12-30 09:00:00.000,2013-12-29 20:10:55.577,0.000,4,711,0.403,0.275,283544,679821
971675,385216,2013-12-29 20:00:00.000,2013-12-29 21:05:18.867,0.000,0,189,0.013,0.006,714106,NULL
674429,631424,2014-01-04 17:00:00.000,2013-12-30 20:47:16.793,0.000,0,36,4.752,0.296,1019700,89234
811859,249920,2013-12-31 09:00:00.000,2013-12-30 21:01:11.930,0.000,0,9,0.054,0.054,464170,NULL
314172,653952,2014-01-05 00:00:00.000,2013-12-30 21:41:57.523,0.342,8819,17350,2.261,2.078,155163,NULL
86423,24384,2013-12-30 21:00:00.000,2013-12-30 22:39:00.197,0.000,0,0,0.000,0.000,894732,NULL
86423,24384,2013-12-30 21:00:00.000,2013-12-30 22:39:00.197,0.000,0,551,2.246,2.095,894732,NULL
507236,795072,2013-12-31 14:00:00.000,2013-12-31 14:56:21.580,0.000,0,130,0.011,0.005,828835,2055
507236,795072,2013-12-31 14:00:00.000,2013-12-31 14:56:21.580,0.000,0,9,0.016,0.016,828835,1035301
507236,795072,2013-12-31 14:00:00.000,2013-12-31 14:56:21.580,0.000,0,1,0.006,0.006,828835,716454
507236,795072,2013-12-31 14:00:00.000,2013-12-31 14:56:21.580,0.000,0,4,0.000,0.000,828835,936200
674429,631424,2014-01-04 09:00:00.000,2013-12-31 21:43:30.847,0.000,0,2,0.054,0.008,394860,89234
674429,631424,2014-01-06 12:00:00.000,2014-01-04 15:06:46.597,0.000,0,2,4.646,0.190,762938,89234
385896,216128,2014-01-04 00:00:00.000,2014-01-04 17:46:42.927,0.000,0,42,0.001,0.001,946977,103205
637972,18816,2014-01-04 22:00:00.000,2014-01-04 19:41:01.930,0.000,0,2252,0.481,0.254,822009,628755
898424,653952,2014-01-06 15:00:00.000,2014-01-05 18:17:14.757,0.000,0,69,0.042,0.042,388034,329702
674429,631424,2014-01-08 09:00:00.000,2014-01-06 20:59:46.517,0.000,0,5,0.056,0.056,568660,89234
892947,653952,2014-01-07 08:00:00.000,2014-01-06 22:26:21.757,0.000,0,18,0.005,0.004,506176,NULL
854404,774272,2014-01-07 17:00:00.000,2014-01-07 16:36:44.003,0.000,0,1362,0.925,0.507,197169,607149
201737,777984,2014-01-07 13:37:00.000,2014-01-07 17:39:59.820,0.000,0,139,0.004,0.004,134685,NULL
201737,777984,2014-01-07 13:37:00.000,2014-01-07 17:39:59.820,0.000,0,95,0.790,0.790,134685,NULL
201737,777984,2014-01-07 13:37:00.000,2014-01-07 17:39:59.820,0.000,0,46,0.004,0.004,134685,NULL
674429,434112,2014-01-07 16:35:00.000,2014-01-07 20:35:34.993,0.000,0,6,0.000,0.000,72201,474134
674429,631424,2014-01-11 17:00:00.000,2014-01-08 16:59:07.520,0.000,0,6,3.358,0.234,808357,89234
201737,777984,2014-01-08 14:34:00.000,2014-01-08 18:34:36.817,0.000,0,7,0.002,0.002,252827,NULL
83597,375104,2014-01-08 16:00:00.000,2014-01-08 19:35:24.267,0.000,0,10,0.022,0.021,190343,92929
811859,249920,2014-01-08 23:00:00.000,2014-01-08 21:19:21.477,0.000,0,2,0.026,0.026,929912,NULL
674429,434112,2014-01-11 13:00:00.000,2014-01-08 21:22:17.880,0.000,0,49,0.015,0.007,374382,474134
305606,47040,2014-01-04 00:00:00.000,2014-01-08 22:45:51.913,0.000,0,13,0.010,0.010,558421,NULL
450537,653952,2014-01-11 14:00:00.000,2014-01-08 23:47:01.790,0.000,0,1031,0.357,0.212,2891,81526
507236,473728,2014-01-19 18:00:00.000,2014-01-11 18:17:18.977,0.000,0,159,0.120,0.120,988983,778189
676356,259328,2014-01-12 10:00:00.000,2014-01-11 20:04:27.367,0.000,0,80,0.031,0.017,124446,408012
201737,777984,2014-01-12 13:00:00.000,2014-01-11 20:23:07.413,0.000,0,1,0.000,0.000,308485,NULL
201737,777984,2014-01-12 09:00:00.000,2014-01-11 20:25:33.807,0.000,0,25,0.001,0.001,801531,NULL
314172,653952,2014-01-12 16:00:00.000,2014-01-11 20:31:19.557,0.042,1036,2457,0.514,0.503,492524,NULL
831590,225536,2014-01-11 19:56:00.000,2014-01-11 20:57:07.367,0.007,25,399,0.084,0.053,430040,NULL
674429,631424,2014-01-19 18:00:00.000,2014-01-11 21:27:28.103,0.000,0,2,5.859,0.339,923086,89234
674429,434112,2014-01-13 12:00:00.000,2014-01-12 17:57:59.310,0.000,0,491,0.084,0.043,551595,474134
854404,774272,2014-01-15 12:00:00.000,2014-01-13 14:46:19.403,0.000,0,5108,2.922,1.521,857189,607149
83597,375104,2014-01-13 12:56:00.000,2014-01-13 16:56:36.077,0.000,0,3,0.004,0.004,794705,92929
894540,724096,2014-01-14 09:00:00.000,2014-01-13 18:21:48.670,0.000,0,510,3.150,0.566,978744,NULL
763339,813632,2014-01-14 23:00:00.000,2014-01-13 20:33:28.140,0.000,0,3,0.001,0.001,360730,731857
898424,653952,2014-01-18 10:00:00.000,2014-01-13 22:04:12.520,0.000,0,750,0.256,0.256,853776,329702
755025,356992,2014-01-13 20:00:00.000,2014-01-13 22:38:13.470,0.000,0,6604,1.176,1.037,298246,983237
674429,631424,2014-01-15 09:00:00.000,2014-01-13 23:46:17.953,0.000,0,1,3.015,0.170,235762,89234
305606,47040,2014-01-14 10:00:00.000,2014-01-13 23:50:25.293,0.000,0,23,0.007,0.007,728808,NULL
159692,662080,2014-01-28 09:00:00.000,2014-01-14 16:43:55.313,8.364,10655,20691,10.151,9.711,912847,373628
159692,662080,2014-01-28 09:00:00.000,2014-01-14 16:43:55.313,19.401,13231,57892,21.163,27.051,912847,373628
159692,662080,2014-01-28 09:00:00.000,2014-01-14 16:43:55.313,2.645,29887,75380,8.288,10.268,912847,786495
159692,662080,2014-01-28 09:00:00.000,2014-01-14 16:43:55.313,0.000,0,0,0.000,0.715,912847,786495
159692,662080,2014-01-28 09:00:00.000,2014-01-14 16:43:55.313,4.812,722,5063,26.432,31.185,912847,824547
159692,662080,2014-01-28 09:00:00.000,2014-01-14 16:43:55.313,3.441,8267,27999,8.806,6.786,912847,824547
159692,662080,2014-01-28 09:00:00.000,2014-01-14 16:43:55.313,1.103,3090,50180,6.071,4.295,912847,989474
159692,662080,2014-01-28 09:00:00.000,2014-01-14 16:43:55.313,6.106,282,1426,4.553,10.657,912847,38491
159692,662080,2014-01-28 09:00:00.000,2014-01-14 16:43:55.313,6.101,175,153,0.274,6.374,912847,57894
159692,662080,2014-01-28 09:00:00.000,2014-01-14 16:43:55.313,1.687,900,11756,21.555,17.318,912847,742709
159692,662080,2014-01-28 09:00:00.000,2014-01-14 16:43:55.313,2.223,9134,66146,37.669,21.001,912847,742709
159692,662080,2014-01-28 09:00:00.000,2014-01-14 16:43:55.313,0.001,2,128,0.306,0.306,912847,560170
159692,662080,2014-01-28 09:00:00.000,2014-01-14 16:43:55.313,7.561,57158,606162,176.966,101.102,912847,560170
1019009,1010944,2014-01-18 09:00:00.000,2014-01-14 17:56:21.840,0.006,16,389,0.410,0.234,603840,49084
1019009,1010944,2014-01-18 09:00:00.000,2014-01-14 17:56:21.840,0.221,243,2629,1.712,1.018,603840,262645
1019009,1010944,2014-01-18 09:00:00.000,2014-01-14 17:56:21.840,1.734,2409,3362,2.302,2.100,603840,941179
1019009,1010944,2014-01-18 09:00:00.000,2014-01-14 17:56:21.840,0.000,0,33,0.053,0.053,603840,10344
763339,813632,2014-01-15 17:00:00.000,2014-01-14 18:05:22.523,0.000,0,13,0.000,0.000,48310,203095
894540,724096,2014-01-15 12:00:00.000,2014-01-14 18:38:37.773,0.000,0,225,0.085,0.082,725395,NULL
831590,225536,2014-01-14 14:00:00.000,2014-01-14 20:25:40.010,0.000,0,47,0.016,0.016,784466,NULL
971675,385216,2014-01-18 12:00:00.000,2014-01-15 17:10:37.737,0.000,0,2,0.000,0.000,409562,NULL
674429,434112,2014-01-18 12:42:00.000,2014-01-18 16:42:39.057,0.000,0,45,0.014,0.007,590188,474134
201737,777984,2014-01-18 20:00:00.000,2014-01-18 22:29:05.930,0.000,0,64,0.013,0.012,833298,NULL
201737,777984,2014-01-18 20:00:00.000,2014-01-18 23:16:42.203,0.000,0,882,0.593,0.589,1017337,293256
201737,777984,2014-01-19 15:00:00.000,2014-01-19 00:02:09.377,0.000,0,764,0.129,0.122,708330,NULL
201737,840000,2014-01-20 11:00:00.000,2014-01-19 23:23:50.213,0.000,0,7844,0.687,0.615,767401,NULL
201737,777984,2014-01-20 12:00:00.000,2014-01-19 23:44:56.050,0.000,0,2060,0.764,0.447,458394,NULL
201737,777984,2014-01-20 12:00:00.000,2014-01-19 23:44:56.050,0.000,0,55,0.004,0.003,458394,NULL
201737,777984,2014-01-20 12:00:00.000,2014-01-19 23:44:56.050,0.000,0,578,0.295,0.199,458394,NULL
201737,777984,2014-01-20 12:00:00.000,2014-01-19 23:44:56.050,0.000,0,149,1.489,0.945,458394,NULL
1019009,1010944,2014-01-20 18:00:00.000,2014-01-19 23:50:24.517,0.000,0,9,0.002,0.002,642433,10344
201737,777984,2014-01-20 13:00:00.000,2014-01-20 00:13:05.803,0.000,0,168,0.049,0.049,333426,NULL
201737,777984,2014-01-20 13:00:00.000,2014-01-20 00:13:05.803,0.000,0,261,0.053,0.053,333426,NULL
201737,777984,2014-01-20 13:00:00.000,2014-01-20 00:13:05.803,0.000,0,64,0.005,0.005,333426,NULL
201737,777984,2014-01-20 13:00:00.000,2014-01-20 00:13:05.803,0.000,0,211,0.041,0.041,333426,NULL
201737,777984,2014-01-20 13:00:00.000,2014-01-20 00:13:05.803,0.000,0,194,0.038,0.038,333426,NULL
201737,777984,2014-01-20 13:00:00.000,2014-01-20 00:13:05.803,0.000,0,53,0.004,0.004,333426,NULL
201737,777984,2014-01-20 13:00:00.000,2014-01-20 00:13:05.803,0.000,0,720,0.121,0.121,333426,NULL
201737,777984,2014-01-20 13:00:00.000,2014-01-20 00:13:05.803,0.000,0,12,0.001,0.001,333426,NULL
201737,777984,2014-01-20 13:00:00.000,2014-01-20 00:13:05.803,0.000,0,76,0.002,0.002,333426,NULL
1019009,1010944,2014-01-21 15:00:00.000,2014-01-20 23:00:54.617,0.000,0,4,0.001,0.001,83490,10344
201737,777984,2014-01-21 12:00:00.000,2014-01-20 23:04:38.413,0.000,0,36,0.008,0.008,576536,NULL
999467,380224,2016-07-13 09:00:00.000,2016-07-12 17:36:21.823,0.000,0,2,0.000,0.000,148546,NULL
366060,459200,2016-07-16 09:00:00.000,2016-07-12 17:37:52.343,0.042,186,508,0.138,0.182,641592,NULL
533632,NULL,2016-07-12 16:30:00.000,2016-07-12 19:30:38.487,0.000,0,1,0.000,0.000,884702,570699
1030445,148416,2016-07-13 16:00:00.000,2016-07-12 19:31:28.190,0.000,0,1,0.005,0.004,329172,954449
77277,205440,2016-07-12 14:30:00.000,2016-07-12 20:16:23.933,0.000,0,2,0.002,0.002,759734,NULL
992808,267456,2016-07-12 16:30:00.000,2016-07-12 20:53:02.717,0.000,0,5,0.001,0.001,450727,27997
992808,267456,2016-07-12 23:58:00.000,2016-07-13 02:23:22.747,0.000,0,2,0.000,0.000,200791,27997
533632,NULL,2016-07-13 08:00:00.000,2016-07-13 02:26:37.000,0.000,0,3,0.003,0.002,138307,372655
948819,903168,2016-07-17 12:00:00.000,2016-07-13 17:13:54.743,0.000,0,261,0.442,0.442,565456,837021
77277,205440,2016-07-17 14:30:00.000,2016-07-13 18:10:43.120,5.535,6197,9018,8.129,13.623,256449,737408
992808,267456,2016-07-13 12:30:00.000,2016-07-13 18:12:08.197,0.000,0,1,0.001,0.001,749495,27997
533632,NULL,2016-07-13 13:00:00.000,2016-07-13 19:08:36.573,0.000,0,3,0.030,0.030,131481,NULL
674429,NULL,2016-07-17 12:00:00.000,2016-07-13 19:22:35.680,0.000,0,1,0.000,0.000,871050,336920
680061,992256,2016-07-17 16:00:00.000,2016-07-13 20:17:09.027,0.000,1,169,0.015,0.008,315520,NULL
701244,75136,2016-07-19 12:00:00.000,2016-07-13 20:40:49.177,1.000,1735,47423,19.262,12.303,808566,826804
701244,75136,2016-07-19 12:00:00.000,2016-07-13 20:40:49.177,0.532,1694,46783,18.614,11.391,808566,290308
305606,430400,2016-07-19 00:00:00.000,2016-07-17 16:38:38.490,0.037,11,82,4.375,4.412,255923,NULL
674429,1014784,2016-07-18 00:00:00.000,2016-07-17 19:44:29.417,0.000,0,49,0.025,0.025,439962,483149
417892,1022464,2016-07-18 14:00:00.000,2016-07-17 21:35:14.610,0.000,0,53,0.021,0.012,624001,119567
680061,992256,2016-07-18 16:30:00.000,2016-07-17 21:36:12.173,0.000,3,3412,5.433,3.599,68471,NULL
759347,831168,2016-07-18 17:00:00.000,2016-07-17 22:10:28.003,0.190,160,1635,1.120,1.180,252510,NULL
260789,456640,2016-07-19 09:00:00.000,2016-07-18 07:02:19.390,0.000,0,265,1.321,0.861,190026,NULL
201737,236928,2016-07-19 12:00:00.000,2016-07-18 15:38:47.550,0.000,0,226,0.530,0.495,374065,NULL
201737,101632,2016-07-19 12:00:00.000,2016-07-18 15:46:55.447,0.000,0,83,0.039,0.039,867111,NULL
607913,8128,2016-07-19 13:00:00.000,2016-07-18 18:34:20.177,0.037,62,219,0.324,0.361,249097,810172
919989,267456,2016-07-19 14:00:00.000,2016-07-18 18:55:38.227,0.000,0,1,0.000,0.000,742143,NULL
919989,267456,2016-07-19 17:00:00.000,2016-07-18 19:39:16.127,0.000,0,22,0.028,0.028,124129,NULL
215152,653952,2016-07-19 16:00:00.000,2016-07-18 20:40:52.407,0.000,0,167,0.065,0.061,617175,519763
919989,267456,2016-07-19 17:00:00.000,2016-07-18 21:27:59.177,0.000,0,132,0.065,0.037,61645,NULL
201737,208704,2016-07-19 16:00:00.000,2016-07-18 21:53:24.187,0.000,0,264,0.195,0.150,801214,306205
417892,1022464,2016-07-19 17:00:00.000,2016-07-19 08:00:34.600,0.000,0,65,0.014,0.008,676246,810552
215152,653952,2016-07-20 16:00:00.000,2016-07-19 18:08:44.280,0.000,0,2,0.000,0.000,551278,519763
346789,813632,2016-07-20 15:00:00.000,2016-07-19 21:12:59.323,0.000,0,37,0.592,0.592,426310,NULL
701244,75136,2016-07-25 10:00:00.000,2016-07-19 21:38:58.587,21.504,59663,119413,56.010,45.920,919356,889899
201737,208704,2016-07-20 16:00:00.000,2016-07-19 21:39:56.040,0.000,0,1459,10.978,10.973,363826,306205
674429,1014784,2016-07-20 16:00:00.000,2016-07-20 15:14:19.580,0.000,0,30,0.014,0.014,301342,483149
